Date           Open    High    Low     Close   Volume        Vol in 1Adj Close
      6/21/1963   70.01   70.57   69.79   70.25       4190000     419   70.25
      6/24/1963   70.25   70.67   69.84    70.2       3700000     370    70.2
      6/25/1963    70.2   70.51   69.75   70.04       4120000     412   70.04
      6/26/1963   70.04    70.1   69.17   69.41       4500000     450   69.41
      6/27/1963   69.41   69.81   68.78   69.07       4540000     454   69.07
      6/28/1963   69.07   69.68   68.93   69.37       3020000     302   69.37
       7/1/1963   69.37   69.53   68.58   68.86       3360000     336   68.86
       7/2/1963   68.86   69.72   68.74   69.46       3540000     354   69.46
       7/3/1963   69.46   70.28   69.42   69.94       4030000     403   69.94
       7/5/1963   69.94   70.48   69.78   70.22       2910000     291   70.22
       7/8/1963   70.22   70.35   69.47   69.74       3290000     329   69.74
       7/9/1963   69.74   70.39   69.55   70.04       3830000     383   70.04
      7/10/1963   70.04   70.31   69.56   69.89       3730000     373   69.89
      7/11/1963   69.89    70.3   69.52   69.76       4100000     410   69.76
      7/12/1963   69.76   70.13   69.36   69.64       3660000     366   69.64
      7/15/1963   69.64   69.73   68.97    69.2       3290000     329    69.2
      7/16/1963    69.2   69.51   68.85   69.14       3000000     300   69.14
      7/17/1963   69.14   69.53   68.68   68.93       3940000     394   68.93
      7/18/1963   68.93   69.27   68.34   68.49       3710000     371   68.49
      7/19/1963   68.49    68.7    67.9   68.35       3340000     334   68.35
      7/22/1963   68.35    68.6   67.54    67.9       3700000     370    67.9
      7/23/1963    67.9   68.57   67.65   67.91       3500000     350   67.91
      7/24/1963   67.91   68.54   67.76   68.28       2810000     281   68.28
      7/25/1963   68.28   68.92   68.02   68.26       3710000     371   68.26
      7/26/1963   68.26   68.76   68.03   68.54       2510000     251   68.54
      7/29/1963   68.54   68.96   68.32   68.67       2840000     284   68.67
      7/30/1963   68.67   69.45   68.58   69.24       3550000     355   69.24
      7/31/1963   69.24   69.83   68.91   69.13       3960000     396   69.13
       8/1/1963   69.13   69.47   68.64   69.07       3410000     341   69.07
       8/2/1963   69.07   69.56   68.86    69.3       2940000     294    69.3
       8/5/1963    69.3   69.97    69.2   69.71       3370000     337   69.71
       8/6/1963   69.71    70.4   69.57   70.17       3760000     376   70.17
       8/7/1963   70.17   70.53   69.69   69.96       3790000     379   69.96
       8/8/1963   69.96   70.31   69.58   70.02       3460000     346   70.02
       8/9/1963   70.02   70.65   69.83   70.48       4050000     405   70.48
      8/12/1963   70.48      71   70.19   70.59       4770000     477   70.59
