Date Open High Low Close Volume AdjClose TrainTest 
5/24/1963 70.1 70.44 69.66 70.02 432 70.02 test
5/27/1963 70.02 70.27 69.48 69.87 376 69.87 train
5/28/1963 69.87 70.41 69.55 70.01 386 70.01 train
5/29/1963 70.01 70.65 69.86 70.33 432 70.33 test
5/31/1963 70.33 71.14 70.27 70.8 468 70.8 train
6/3/1963 70.8 71.24 70.39 70.69 540 70.69 train
6/4/1963 70.69 71.08 70.2 70.7 597 70.7 test
6/5/1963 70.7 71.17 70.17 70.53 586 70.53 train
6/6/1963 70.53 70.95 70.11 70.58 499 70.58 test
6/7/1963 70.58 70.98 70.1 70.41 511 70.41 train
6/10/1963 70.41 70.51 69.57 69.94 469 69.94 train
6/11/1963 69.94 70.41 69.58 70.03 439 70.03 train
6/12/1963 70.03 70.81 69.91 70.41 521 70.41 test
6/13/1963 70.41 70.85 69.98 70.23 469 70.23 train
6/14/1963 70.23 70.6 69.87 70.25 384 70.25 train
6/17/1963 69.95 69.95 69.95 69.95 351 69.95 test
6/18/1963 69.95 70.43 69.63 70.02 391 70.02 train
6/19/1963 70.02 70.47 69.75 70.09 397 70.09 train
6/20/1963 70.09 70.36 69.31 70.01 497 70.01 test
6/21/1963 70.01 70.57 69.79 70.25 419 70.25 train
6/24/1963 70.25 70.67 69.84 70.2 370 70.2 train
6/25/1963 70.2 70.51 69.75 70.04 412 70.04 train
6/26/1963 70.04 70.1 69.17 69.41 450 69.41 test
6/27/1963 69.41 69.81 68.78 69.07 454 69.07 train
6/28/1963 69.07 69.68 68.93 69.37 302 69.37 train
7/1/1963 69.37 69.53 68.58 68.86 336 68.86 train
7/2/1963 68.86 69.72 68.74 69.46 354 69.46 train
7/3/1963 69.46 70.28 69.42 69.94 403 69.94 test
7/5/1963 69.94 70.48 69.78 70.22 291 70.22 test
7/8/1963 70.22 70.35 69.47 69.74 329 69.74 train
7/9/1963 69.74 70.39 69.55 70.04 383 70.04 test
7/10/1963 70.04 70.31 69.56 69.89 373 69.89 train
7/11/1963 69.89 70.3 69.52 69.76 410 69.76 train
7/12/1963 69.76 70.13 69.36 69.64 366 69.64 train
7/15/1963 69.64 69.73 68.97 69.2 329 69.2 test
7/16/1963 69.2 69.51 68.85 69.14 300 69.14 train
7/17/1963 69.14 69.53 68.68 68.93 394 68.93 test
7/18/1963 68.93 69.27 68.34 68.49 371 68.49 test
7/19/1963 68.49 68.7 67.9 68.35 334 68.35 test
7/22/1963 68.35 68.6 67.54 67.9 370 67.9 test
7/23/1963 67.9 68.57 67.65 67.91 350 67.91 train
7/24/1963 67.91 68.54 67.76 68.28 281 68.28 train
7/25/1963 68.28 68.92 68.02 68.26 371 68.26 train
7/26/1963 68.26 68.76 68.03 68.54 251 68.54 test
7/29/1963 68.54 68.96 68.32 68.67 284 68.67 train
7/30/1963 68.67 69.45 68.58 69.24 355 69.24 train
7/31/1963 69.24 69.83 68.91 69.13 396 69.13 test
8/1/1963 69.13 69.47 68.64 69.07 341 69.07 test
8/2/1963 69.07 69.56 68.86 69.3 294 69.3 train
8/5/1963 69.3 69.97 69.2 69.71 337 69.71 test
8/6/1963 69.71 70.4 69.57 70.17 376 70.17 train
8/7/1963 70.17 70.53 69.69 69.96 379 69.96 test
8/8/1963 69.96 70.31 69.58 70.02 346 70.02 train
8/9/1963 70.02 70.65 69.83 70.48 405 70.48 test
8/12/1963 70.48 71.0 70.19 70.59 477 70.59 train
8/13/1963 70.59 71.09 70.32 70.79 445 70.79 train
8/14/1963 70.79 71.32 70.39 71.07 442 71.07 test
8/15/1963 71.07 71.71 70.81 71.38 498 71.38 train
8/16/1963 71.38 71.95 71.05 71.49 413 71.49 test
8/19/1963 71.49 71.92 71.15 71.44 365 71.44 train
8/20/1963 71.44 71.91 71.03 71.38 366 71.38 train
8/21/1963 71.38 71.73 71.0 71.29 382 71.29 train
8/22/1963 71.29 71.81 70.95 71.54 454 71.54 test
